City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bonthe,SL,81.72,broken clouds,7.5264,-12.505,Bonthe Holiday Village
3,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
4,Golden,US,79.97,scattered clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
6,Sao Filipe,CV,76.24,few clouds,14.8961,-24.4956,Hotel Xaguate
9,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
11,Clinton,US,82.96,light rain,42.587,-82.9199,River's Edge
13,Mayo,US,82.94,clear sky,38.8876,-76.5119,Resorts Resource Group International
15,Rikitea,PF,76.73,broken clouds,-23.1203,-134.9692,People ThankYou
24,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
28,Sur,OM,84.04,clear sky,22.5667,59.5289,Sur Plaza Hotel
32,Porangatu,BR,79.79,few clouds,-13.4408,-49.1486,Wembley Park Hotel
41,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Salvador,SV,85.05,few clouds,13.8333,-88.9167,Chico's Ranch
49,Kapaa,US,80.92,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
51,Benjamin Constant,BR,77.13,light rain,-4.3831,-70.0311,CASA AVALIADA
54,Prado,BR,75.88,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
55,Westport,US,80.15,scattered clouds,41.1415,-73.3579,The Westport Inn
61,Bengkulu,ID,76.24,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
62,Jamestown,US,78.53,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
65,Canto Do Buriti,BR,85.6,overcast clouds,-8.11,-42.9444,Novo Hotel
66,Decatur,US,78.85,clear sky,39.8403,-88.9548,Haworth Cottage
69,Cayenne,GF,77.09,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
72,Mabaruma,GY,76.05,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
77,Butaritari,KI,80.8,clear sky,3.0707,172.7902,Isles Sunset Lodge
82,Daru,PG,77.49,scattered clouds,-9.0763,143.2092,Daru Lodge
83,Atuona,PF,78.39,light rain,-9.8,-139.0333,Villa Enata
85,Neiafu,TO,79.48,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
88,Kavieng,PG,82.26,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
93,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
98,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
99,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
101,Cururupu,BR,76.55,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
110,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
112,Southbridge,US,78.91,broken clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
116,Koumac,NC,77.05,scattered clouds,-20.5667,164.2833,Le Monitel
118,Havelock,US,78.94,overcast clouds,34.8791,-76.9013,Sherwood Motel
121,Hilo,US,85.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
126,Bodden Town,KY,84.0,broken clouds,19.2833,-81.25,Will T Place
127,Homewood,US,82.08,broken clouds,33.4718,-86.8008,La Quinta Inn & Suites by Wyndham Birmingham Homewood
128,Tra Vinh,VN,79.36,overcast clouds,9.9347,106.3453,Hồng Ân
129,Balabac,PH,81.18,broken clouds,7.9868,117.0645,Batalla’s Lodging House
132,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
133,Hithadhoo,MV,82.96,overcast clouds,-0.6,73.0833,Scoop Guest House
141,Isangel,VU,77.9,scattered clouds,-19.55,169.2667,Tanna Lodge
145,Odweyne,SO,77.5,clear sky,9.4092,45.064,Eng Hiirey House
146,Bethel,US,78.89,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
148,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Cititel Penang
151,Caravelas,BR,75.29,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
156,Arraial Do Cabo,BR,75.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
157,Muli,MV,83.55,broken clouds,2.9167,73.5667,Medhufushi Island Resort
158,Evans,US,89.8,scattered clouds,33.5337,-82.1307,Evans hide out
164,Tutoia,BR,78.66,broken clouds,-2.7619,-42.2744,Pousada Guará's
166,Piacabucu,BR,77.81,broken clouds,-10.4056,-36.4344,Piaçabuçu News
168,Tautira,PF,80.55,light rain,-17.7333,-149.15,Pension Oaoa
172,Meulaboh,ID,75.61,overcast clouds,4.1363,96.1285,Kost Pria
175,Guadalupe Y Calvo,MX,77.74,overcast clouds,26.1,-106.9667,Hotel Pizarro
178,Harper,LR,79.23,light rain,4.375,-7.7169,Screensaver
