City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Aqtobe,KZ,50.2797,57.2072,53.69,87,0,6.71,clear sky
1,Evensk,RU,61.95,159.2333,38.53,89,92,11.68,overcast clouds
2,Bonthe,SL,7.5264,-12.505,81.72,84,74,10.47,broken clouds
3,Acapulco,MX,16.8634,-99.8901,87.62,70,40,10.36,scattered clouds
4,Golden,US,39.7555,-105.2211,79.97,28,40,10.36,scattered clouds
5,Zharkent,KZ,44.1628,80.0,59.61,73,100,5.57,overcast clouds
6,Sao Filipe,CV,14.8961,-24.4956,76.24,71,15,5.88,few clouds
7,Khatanga,RU,71.9667,102.5,31.46,94,100,0.51,overcast clouds
8,Hobart,AU,-42.8794,147.3294,48.06,81,40,11.5,scattered clouds
9,Avarua,CK,-21.2078,-159.775,82.45,61,75,4.61,broken clouds
10,Saskylakh,RU,71.9167,114.0833,33.3,100,100,4.97,overcast clouds
11,Clinton,US,42.587,-82.9199,82.96,59,75,5.75,light rain
12,Nikolskoye,RU,59.7035,30.7861,42.69,89,44,7.05,scattered clouds
13,Mayo,US,38.8876,-76.5119,82.94,80,0,4.61,clear sky
14,Nanortalik,GL,60.1432,-45.2371,30.88,77,77,6.78,broken clouds
15,Rikitea,PF,-23.1203,-134.9692,76.73,70,52,18.66,broken clouds
16,Chicama,PE,-7.8447,-79.1469,63.14,66,72,8.03,broken clouds
17,Egvekinot,RU,66.3167,-179.1667,28.81,85,100,1.12,overcast clouds
18,Thompson,CA,55.7435,-97.8558,34.74,97,100,10.94,overcast clouds
19,Krasnoselkup,RU,65.7,82.4667,51.26,98,100,6.24,heavy intensity rain
20,Hofn,IS,64.2539,-15.2082,47.71,90,100,2.15,overcast clouds
21,Neenah,US,44.1858,-88.4626,74.95,31,75,10.36,broken clouds
22,Naze,JP,28.3667,129.4833,59.99,86,100,11.54,light rain
23,Codrington,AU,-38.2667,141.9667,51.26,77,92,12.91,overcast clouds
24,Vaini,TO,-21.2,-175.2,77.16,73,40,6.91,scattered clouds
25,Bredasdorp,ZA,-34.5322,20.0403,55.33,89,0,2.73,clear sky
26,Gornopravdinsk,RU,60.05,69.9,46.96,89,74,5.5,broken clouds
27,Mataura,NZ,-46.1927,168.8643,46.83,85,10,2.1,clear sky
28,Sur,OM,22.5667,59.5289,84.04,52,0,7.72,clear sky
29,Estacion Coahuila,MX,32.1939,-115.0017,105.53,4,1,12.71,clear sky
30,Ushuaia,AR,-54.8,-68.3,51.46,46,75,20.71,broken clouds
31,New Norfolk,AU,-42.7826,147.0587,47.7,80,67,3.0,broken clouds
32,Porangatu,BR,-13.4408,-49.1486,79.79,49,22,2.84,few clouds
33,Avera,US,33.194,-82.5271,87.55,46,86,6.53,overcast clouds
34,Scarborough,GB,54.2797,-0.4044,52.34,89,100,8.01,overcast clouds
35,Saint George,US,37.1041,-113.5841,98.94,5,0,9.22,clear sky
36,Bluff,NZ,-46.6,168.3333,48.0,82,11,8.03,few clouds
37,Hermanus,ZA,-34.4187,19.2345,60.8,74,0,9.24,clear sky
38,Busselton,AU,-33.65,115.3333,51.57,83,7,7.65,clear sky
39,Bogatyye Saby,RU,56.0102,50.4483,47.19,84,99,1.99,overcast clouds
40,Inhambane,MZ,-23.865,35.3833,70.02,79,8,10.16,light rain
41,Puerto Ayora,EC,-0.7393,-90.3518,82.36,92,83,1.99,broken clouds
42,Najran,SA,17.4924,44.1277,70.23,9,23,1.9,few clouds
43,Salvador,SV,13.8333,-88.9167,85.05,30,23,7.25,few clouds
44,Amapa,BR,1.0,-52.0,73.83,99,99,2.08,light rain
45,Chuy,UY,-33.6971,-53.4616,53.62,60,29,8.48,scattered clouds
46,Punta Arenas,CL,-53.15,-70.9167,44.71,76,0,5.75,clear sky
47,Imbituba,BR,-28.24,-48.6703,65.08,99,48,7.0,scattered clouds
48,Kisangani,CD,0.5167,25.2,72.41,95,100,1.95,light rain
49,Kapaa,US,22.0752,-159.319,80.92,75,20,11.5,few clouds
50,Locri,IT,38.2414,16.2623,67.32,65,23,7.25,few clouds
51,Benjamin Constant,BR,-4.3831,-70.0311,77.13,88,75,3.44,light rain
52,Henties Bay,NA,-22.116,14.2845,63.1,62,1,1.92,clear sky
53,Liwale,TZ,-9.7667,37.9333,71.02,59,87,4.34,overcast clouds
54,Prado,BR,-17.3411,-39.2208,75.88,71,94,6.15,overcast clouds
55,Westport,US,41.1415,-73.3579,80.15,67,50,1.99,scattered clouds
56,Klaksvik,FO,62.2266,-6.589,45.52,93,80,11.12,broken clouds
57,Pevek,RU,69.7008,170.3133,23.9,84,100,4.88,overcast clouds
58,Kodiak,US,57.79,-152.4072,51.31,50,100,12.66,overcast clouds
59,Aitape,PG,-3.1374,142.3475,79.23,86,99,4.72,overcast clouds
60,Ust-Kan,RU,50.9276,84.761,48.38,88,100,1.45,light rain
61,Bengkulu,ID,-3.8004,102.2655,76.24,90,94,1.39,overcast clouds
62,Jamestown,US,42.097,-79.2353,78.53,43,0,13.8,clear sky
63,Cherskiy,RU,68.75,161.3,30.6,81,85,7.9,overcast clouds
64,Butiama,TZ,-1.7667,33.9667,62.83,89,63,3.49,broken clouds
65,Canto Do Buriti,BR,-8.11,-42.9444,85.6,46,100,5.61,overcast clouds
66,Decatur,US,39.8403,-88.9548,78.85,47,0,14.97,clear sky
67,Cape Town,ZA,-33.9258,18.4232,62.11,82,0,8.01,clear sky
68,Tpig,RU,41.7801,47.589,47.08,68,83,6.62,broken clouds
69,Cayenne,GF,4.9333,-52.3333,77.09,1,100,9.22,heavy intensity rain
70,Staryy Nadym,RU,65.6118,72.6842,43.32,84,35,8.75,scattered clouds
71,Geraldton,AU,-28.7667,114.6,55.81,76,0,13.8,clear sky
72,Mabaruma,GY,8.2,-59.7833,76.05,97,100,2.86,overcast clouds
73,Bonga,ET,7.2833,36.2333,60.91,98,92,1.05,light rain
74,Dikson,RU,73.5069,80.5464,32.86,94,100,11.05,overcast clouds
75,Cabo San Lucas,MX,22.8909,-109.9124,91.71,20,75,11.5,broken clouds
76,Adre,TD,13.4667,22.2,78.26,50,94,14.38,overcast clouds
77,Butaritari,KI,3.0707,172.7902,80.8,77,6,11.05,clear sky
78,Yulara,AU,-25.2406,130.9889,54.81,41,0,8.79,clear sky
79,Copiapo,CL,-27.3667,-70.3333,55.09,50,12,4.99,few clouds
80,Victoria,HK,22.2855,114.1577,69.33,85,100,10.0,overcast clouds
81,Torbay,CA,47.6666,-52.7314,36.57,82,31,11.99,scattered clouds
82,Daru,PG,-9.0763,143.2092,77.49,79,40,4.56,scattered clouds
83,Atuona,PF,-9.8,-139.0333,78.39,77,13,17.09,light rain
84,Carmelo,UY,-33.9892,-58.2856,53.49,38,0,12.59,clear sky
85,Neiafu,TO,-18.65,-173.9833,79.48,69,20,6.91,few clouds
86,Carman,CA,49.4992,-98.0016,54.9,59,92,13.44,overcast clouds
87,Lucapa,AO,-8.4192,20.7447,68.76,52,38,4.14,scattered clouds
88,Kavieng,PG,-2.5744,150.7967,82.26,68,100,4.23,overcast clouds
89,Lasa,IT,46.6166,10.7002,59.36,91,96,2.77,overcast clouds
90,Port Lincoln,AU,-34.7333,135.8667,57.65,66,79,14.27,broken clouds
91,Tiksi,RU,71.6872,128.8694,9.21,97,94,4.23,overcast clouds
92,Wesselsbron,ZA,-27.8549,26.3658,57.33,52,18,5.55,few clouds
93,Bambous Virieux,MU,-20.3428,57.7575,75.45,83,40,11.5,light rain
94,Lagoa,PT,39.05,-27.9833,61.74,84,100,38.07,light rain
95,Albany,US,42.6001,-73.9662,73.51,92,30,4.83,scattered clouds
96,Upernavik,GL,72.7868,-56.1549,17.46,84,15,7.29,few clouds
97,Nhulunbuy,AU,-12.2333,136.7667,66.81,94,0,0.0,clear sky
98,Vila Velha,BR,-20.3297,-40.2925,75.15,73,40,4.61,scattered clouds
99,Mahebourg,MU,-20.4081,57.7,75.49,83,40,11.5,scattered clouds
100,Provideniya,RU,64.3833,-173.3,39.36,70,75,13.42,broken clouds
101,Cururupu,BR,-1.8283,-44.8683,76.55,95,45,3.83,scattered clouds
102,Gao,ML,16.6362,1.637,94.06,22,94,12.48,overcast clouds
103,Ilulissat,GL,69.2167,-51.1,26.62,50,3,0.0,clear sky
104,Muros,ES,42.7762,-9.0603,62.83,82,98,20.29,overcast clouds
105,Qaanaaq,GL,77.484,-69.3632,25.5,70,100,3.24,overcast clouds
106,Whitianga,NZ,-36.8333,175.7,65.41,90,100,14.07,light rain
107,Dongning,CN,44.0622,131.1207,50.32,74,100,4.32,overcast clouds
108,Mnogovershinnyy,RU,53.9353,139.9242,32.02,98,100,7.4,overcast clouds
109,Yellowknife,CA,62.456,-114.3525,53.56,40,100,11.01,overcast clouds
110,Cabedelo,BR,-6.9811,-34.8339,77.67,85,89,9.17,overcast clouds
111,Beipiao,CN,41.7919,120.7792,55.92,40,55,3.83,broken clouds
112,Southbridge,US,42.0751,-72.0334,78.91,76,64,5.99,broken clouds
113,Thinadhoo,MV,0.5333,72.9333,83.73,71,97,16.73,overcast clouds
114,Algiers,DZ,36.7525,3.042,64.22,88,28,3.44,scattered clouds
115,Hasaki,JP,35.7333,140.8333,57.6,80,100,16.17,moderate rain
116,Koumac,NC,-20.5667,164.2833,77.05,67,39,3.74,scattered clouds
117,Ponta Do Sol,PT,32.6667,-17.1,68.72,81,7,5.03,clear sky
118,Havelock,US,34.8791,-76.9013,78.94,78,90,10.0,overcast clouds
119,Barrow,US,71.2906,-156.7887,33.82,75,0,9.22,clear sky
120,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,52,10.92,light rain
121,Hilo,US,19.7297,-155.09,85.28,71,40,14.97,scattered clouds
122,Airai,TL,-8.9266,125.4092,58.82,91,20,1.54,few clouds
123,Jumla,NP,29.2747,82.1838,53.55,78,3,5.64,clear sky
124,Tasiilaq,GL,65.6145,-37.6368,35.76,98,100,15.68,moderate rain
125,San Ignacio,BZ,17.1561,-89.0714,98.74,34,0,4.61,clear sky
126,Bodden Town,KY,19.2833,-81.25,84.0,67,75,12.66,broken clouds
127,Homewood,US,33.4718,-86.8008,82.08,55,75,6.91,broken clouds
128,Tra Vinh,VN,9.9347,106.3453,79.36,90,100,4.21,overcast clouds
129,Balabac,PH,7.9868,117.0645,81.18,80,77,0.83,broken clouds
130,Santa Cruz,BO,-17.8,-63.1667,71.65,60,75,14.97,broken clouds
131,Kondinskoye,RU,59.6481,67.41,47.57,85,50,6.93,scattered clouds
132,Olinda,BR,-8.0089,-34.8553,82.13,78,75,8.05,broken clouds
133,Hithadhoo,MV,-0.6,73.0833,82.96,75,87,12.77,overcast clouds
134,Adrar,MR,20.5022,-10.0711,90.32,11,72,10.42,broken clouds
135,Poya,NC,-21.35,165.15,76.26,70,66,3.89,broken clouds
136,Chokurdakh,RU,70.6333,147.9167,18.21,88,99,9.26,overcast clouds
137,Saldanha,ZA,-33.0117,17.9442,61.36,53,0,9.15,clear sky
138,Nianzishan,CN,47.5167,122.8833,50.47,33,29,5.44,scattered clouds
139,Pisco,PE,-13.7,-76.2167,64.45,82,8,9.22,mist
140,Saint-Augustin,CA,51.226,-58.6502,43.43,52,67,10.69,broken clouds
141,Isangel,VU,-19.55,169.2667,77.9,72,39,13.47,scattered clouds
